fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
6b4f16fc-2a90-42c5-aa00-44833cebaf0f,8244afe2-efe0-4f50-991f-9db68f710316,8244afe2-efe0-4f50-991f-9db68f710316,1,After NDF and drying oven,0.0,0.0,POINT (0.0 0.0),633400,2019-11-04 19:11:06 EST,2019-11-04 14:10:15 EST,,,,,,,,,,,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
ed015a0e-529d-4d75-bf73-5da943d8f40b,8244afe2-efe0-4f50-991f-9db68f710316,8244afe2-efe0-4f50-991f-9db68f710316,1,After ADF and drying oven,45.55825833333333,-73.55638055555555,POINT (-73.55638055555555 45.55825833333333),644435,2019-11-05 17:01:59 EST,2019-11-05 12:01:15 EST,17.9,2019-11-05,22:01:15,15.178999893831618,,,45.55825833333333,N,-73.55638055555555,W,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
cc931820-f52a-49d7-851a-7bbaefc28dcc,8244afe2-efe0-4f50-991f-9db68f710316,8244afe2-efe0-4f50-991f-9db68f710316,1,after ADL and drying oven,0.0,0.0,POINT (0.0 0.0),583302,2019-11-18 19:26:52 EST,2019-11-18 13:22:44 EST,,,,,,,,,,,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
e3090860-dd47-4021-99b4-bf76bdbafe90,c5842013-ac14-4307-b11d-7a0b78a96101,c5842013-ac14-4307-b11d-7a0b78a96101,1,after NDF and drying oven,0.0,0.0,POINT (0.0 0.0),570295,2019-11-18 19:26:54 EST,2019-11-18 14:26:34 EST,,,,,,,,,,,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
56adada5-bd5f-4256-940e-285a72b176b7,c5842013-ac14-4307-b11d-7a0b78a96101,c5842013-ac14-4307-b11d-7a0b78a96101,1,after ADF and drying oven,45.55769166666666,-73.55680833333334,POINT (-73.55680833333334 45.55769166666666),533324,2019-11-19 21:02:20 EST,2019-11-19 16:01:59 EST,133.60430907675,2019-11-20,02:01:54,25.253999716834205,,,45.55769166666666,N,-73.55680833333334,W,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
af735240-ce9f-46e4-bad8-e4c2b0eee826,c5842013-ac14-4307-b11d-7a0b78a96101,c5842013-ac14-4307-b11d-7a0b78a96101,1,after adl and drying oven,0.0,0.0,POINT (0.0 0.0),551408,2019-11-20 21:10:26 EST,2019-11-20 16:02:10 EST,,,,,,,,,,,Google,Pixel 2,,,,"Fulcrum Android 2.33.5 (4946), Android 10, Google, Pixel 2",,
d7690078-baae-4787-9782-d7a32479c0dc,e1d263d5-716b-4d24-9f94-ae0dacb35ca2,e1d263d5-716b-4d24-9f94-ae0dacb35ca2,1,,45.55819770000119,-73.55630429999847,POINT (-73.55630429999847 45.55819770000119),474334,2019-12-10 17:20:10 EST,2019-12-10 12:17:33 EST,18.1,,,15.295,,,45.55819770000119,N,-73.55630429999847,W,BullittGroupLimited,S41,,1080,801,"Fulcrum Android 2.34.0 (5279), Android 8.0.0, BullittGroupLimited, S41",72.0,72.0
